,교과구분,개설대학,개설학과,학년,교과목 번호,강좌번호,교과목명(부제명),학점-강의-실습,수업교시-수업형태-강의실(동-호),담당교수,강의계획서,정원,수강신청인원,비고
2386,전선,공과대학,,1학년,M2177.007900,001,대학 스타트업 콜로키엄,1-1-0,"['수(10:00~10:50)', '이론', '43-201']",김장길 (대표교수),Y,100 (100),90,
2387,전선,공과대학,,1학년,M2177.008100,001,공학 전공 탐색,3-3-0,"['목(16:00~18:50)', '이론', '302-720(무선랜제공)']",박형준 (대표교수),Y,46 (46),32,®
2388,전선,공과대학,,0학년,M2177.008200,001,반도체공정,4-2-4,"['월(11:00~11:50)', '이론', ' ', '수(11:00~11:50)', '이론', ' ', '금(09:30~13:20)', '실습', ' ']",이철호 (대표교수),,10 (10),5,"ⓒ301동103호/35동317호/ 전기정보공학부 430.803A강좌와 크로스리스팅 교과목, 본인 소속 학과에서 개설된 강좌로 수강신청 요망"
2389,일선,공과대학,,2학년,M2177.008400,001,창업현장실습 1,3-0-240,"['', '', '']",최기창 (대표교수),Y,10 (10),2,수강신청제한 수강신청제한(창업지원단 승인 필요)
2390,일선,공과대학,,2학년,M2177.008500,001,창업현장실습 2,6-0-480,"['', '', '']",최기창 (대표교수),Y,10 (10),3,수강신청제한 수강신청제한(창업지원단 승인 필요)
2391,전선,공과대학,,2학년,M2177.008600,001,인공지능 개론,3-3-0,"['금(13:30~16:20)', '이론', '302-311-1(무선랜제공)']",박재식 (대표교수),Y,100 (100),40,"®★ 개별 노트북 지참 필수, 수강신청 전 안내사항 확인 요망 (https://docs.google.com/document/d/1jXJftfz3PrUqaxcdqCbL7jFX8tDtwBU8JbY0WBMSkms/edit?usp=sharing)"
2392,전선,공과대학,,3학년,M2177.008700,001,정보 보호 및 블록체인 개론,3-3-0,"['금(10:00~12:50)', '이론', '43-2-B101']",엄현상 (대표교수),Y,70 (70),56,ⓕ 플립러닝(Flipped Learning) 적용강좌
2393,전선,공과대학,,2학년,M2177.008800,001,사물인터넷과 공학설계,3-2-2,"['월(14:00~15:50)', '이론', '38-B105(무선랜제공)', '월(16:00~17:50)', '실습', '38-B105(무선랜제공)']",양세훈 (대표교수),Y,30 (30),24,"IoT 아두이노, ESP32 및 STM32 실습"
2394,전선,공과대학,,0학년,M2177.009600,001,도시공간구조론,3-3-0,"['', '', '']",권영상 (대표교수),Y,15 (15),2,"ⓒ35동317호/ 건설환경공학부 457.551강좌와 크로스리스팅 교과목, 본인 소속 학과에서 개설된 강좌로 수강신청 요망"
2395,전선,공과대학,,0학년,M2177.009700,001,비점성유동,3-3-0,"['화(14:00~15:15)', '이론', ' ', '목(14:00~15:15)', '이론', ' ']",박형민 (대표교수),Y,60 (60),3,ⓔ301동 204호/기계공학부 소속 학생들은 기계공학부에서 개설된 M2794.008600강좌로 수강신청 요망 
2396,전선,공과대학,,0학년,M2177.009800,001,고분자물리학 1,3-3-0,"['월(15:30~16:45)', '이론', ' ', '수(15:30~16:45)', '이론', ' ']",선정윤 (대표교수),Y,20 (20),14,"ⓔⓒ재료공학부 445.674A 강좌와 크로스리스팅, 소속 학과(부) 개설강좌로 수강신청 요망"
2397,전선,공과대학,,0학년,M2177.010000,001,확률 그래프 모델,3-3-0,"['월(14:00~15:15)', '이론', ' ', '수(14:00~15:15)', '이론', ' ']",김건희 (대표교수),,30 (30),5,"ⓔⓒ302동311-1호/ 컴퓨터공학부 M1522.001300 강좌, 협동과정인공지능 전공 M3309.002400강좌와 크로스리스팅 본인 소속 학과(부) 개설 교과목으로 수강신청 요망"
2398,전선,공과대학,,0학년,M2177.010200,001,고급컴퓨터구조,3-3-0,"['화(14:00~15:15)', '이론', ' ', '목(14:00~15:15)', '이론', ' ']",유승주 (대표교수),,25 (25),11,"ⓔⓒ302동311-1호/ 컴퓨터공학부 4190.571강좌와 크로스리스팅, 소속 학과(부) 개설 강좌로 수강신청 요망"
2399,전선,공과대학,,0학년,M2177.010300,001,반도체화학공정,3-3-0,"['화(15:30~16:45)', '이론', ' ', '목(15:30~16:45)', '이론', ' ']",김재정 (대표교수),,8 (8),7,302동 808호/화학생물공학부 학생은 화학생물공학부에서 개설된 반도체화학공정(458.502)를 수강신청
2400,전선,공과대학,,4학년,M2177.010400,001,공학지식의 글로벌 공유가치,3-3-0,"['목(09:30~12:20)', '이론', '38-422(무선랜제공)']",곽승엽 (대표교수),Y,10 (10),8,2025년 1월 HMMC 글로벌 교육 프로그램 참여 학생만 수강가능
